customer_tweet_id,customer_text,human_intent,human_intent_v2,human_intent_v3,v3_status,v3_rule,v3_confidence,v3_reason,suggested_intent
1960101,@118189 can you dm me a customer service phone number please - technical support,complaint_dissatisfaction,how_to_usage,how_to_usage,resolved,R1a,medium,,how_to_usage
615215,@118189 why did you remove the green check that signs everything is alright and I'm connected to the dropbox cloud?,complaint_dissatisfaction,how_to_usage,how_to_usage,resolved,R1a,medium,,how_to_usage
933440,"@DropboxSupport I know about that, but the green icon worked great for me and many others just fine on Windows, Linux, etc. It was a bad decision.",complaint_dissatisfaction,complaint_dissatisfaction,feature_request,resolved,R1b,high,"Argues the removed green icon 'worked great for me and many others' -- product-design feedback. Confirmed by four unambiguous neighbours (1619102, 1099456, 1067503, 2509185) that both human and model already label feature_request.",complaint_dissatisfaction
1452735,Hi @dropboxsupport why can't I get notifications of added files to my android phone?,complaint_dissatisfaction,how_to_usage,how_to_usage,resolved,R1a,medium,,how_to_usage
2540849,@DropboxSupport P1 You need to send the login IP address when you send warnings of possibly unauthorized logins. It's confusing not to.,complaint_dissatisfaction,feature_request,feature_request,resolved,R1b,high,,security_account_compromise
1804904,@DropboxSupport having some other tech glitches so I (and now my whole team) went to https://t.co/CUHvRk8nTq and:  What is going on? https://t.co/xMceAlgvZl,complaint_dissatisfaction,service_outage,service_outage,resolved,R8b,high,,service_outage
1523722,@DropboxSupport I was wondering if there was an option to trial Dropbox Professional (I am on Plus)?,storage_quota_plan_limits,billing_subscription,billing_subscription,resolved,R6a,medium,,how_to_usage
1082713,@DropboxSupport That's absurd. Please add it back.,complaint_dissatisfaction,feature_request,feature_request,resolved,R1b,high,,feature_request
2551167,@39613 @118189 @DropboxSupport Dropbox is a RIPOFF! They charge customers for TRIALS before they are OVER!!,complaint_dissatisfaction,billing_subscription,billing_subscription,resolved,R1d,medium,,billing_subscription
1383896,This is not the moment to stop working @DropboxSupport https://t.co/XQYrpWb1as,complaint_dissatisfaction,service_outage,service_outage,resolved,R8b,medium,,service_outage
1000504,"@DropboxSupport 
For some reason, some mysterious files were uploaded to our receipts folder at 10:59AM and 11:00 AM, under my account, today. They all start with the name ""#photos-3"" and are URL files that don't load anything. Was my account hacked? Is this a Drop Box error?",account_access,account_access,security_account_compromise,resolved,R7a,high,"'mysterious files were uploaded ... under my account' is suspicious activity, which Part 3 gives to security. The customer is not blocked from authenticating, so account_access does not apply.",security_account_compromise
1057223,So glad I have two factor authentication. Someone just tried to get into my Dropbox. @118189 is there a way to see all attempted logins?,account_access,account_access,security_account_compromise,resolved,R7a,medium,Reports an attempted unauthorised login. The 'is there a way to see all attempted logins' question is real but secondary; the reported security event is the topic.,security_account_compromise
79858,"@DropboxSupport good day. I've been experiencing difficulty while trying to free up space in my dropbox. I've deleted and then permanently deleted thousands of files, and yet the reading on my storage usage has not changed at all.",sync_app_bug,storage_quota_plan_limits,storage_quota_plan_limits,resolved,R4,high,,storage_quota_plan_limits
1480046,@118189 Do you have some problems this morning I can’t connect to my account.,service_outage,service_outage,account_access,resolved,R8a,medium,"'Do you have some problems this morning I can't connect to my account' pairs an outage guess with an account-specific symptom. R8a gives the symptom precedence, and the symptom is being unable to reach the account.",account_access
2053253,@DropboxSupport Out of Space Warning will not go away even though 50%+ unwanted files removed - how to make DB recognize it is not at 100%,how_to_usage,storage_quota_plan_limits,storage_quota_plan_limits,resolved,R4,high,,storage_quota_plan_limits
237165,@DropboxSupport Yes. I lost one and can't figure out how to remove its access.,account_access,account_access,how_to_usage,resolved,R7b,medium,"'I lost one and can't figure out how to remove its access' -- authenticated, wants to unlink a lost device. Same operation as 2222820. This is the documented R7 edge case and the customer is not locked out.",account_access
53189,@DropboxSupport It would be great if they offered a little bit more space. I would pay more if it did. Thanks for the reply,storage_quota_plan_limits,feature_request,feature_request,resolved,R1b,high,,feature_request
512851,"@DropboxSupport
Anyone else having sync issues with #Dropbox .. client is making changes to shared sheet, I can't see them, same in reverse. Not the first time. #Dropbox is about to be binned. Suggestions of safe shared space please?",service_outage,sync_app_bug,sync_app_bug,resolved,R8a,high,,sync_app_bug
2742476,"@DropboxSupport what is the way to add more space to the current plan and how much does it cost ? without upgrading to team or business account

thanks",storage_quota_plan_limits,billing_subscription,billing_subscription,resolved,R6a,high,,billing_subscription
193025,".@116029 @DropboxSupport as a small non-profit, we can't afford to pay $500 for something we're not going to use https://t.co/4l8Jf450ai",storage_quota_plan_limits,complaint_dissatisfaction,complaint_dissatisfaction,resolved,R1c,medium,,billing_subscription
2910246,"@DropboxSupport I’ve permanently deleted tons of files to free up space and after 24 hours, my account is still not reflecting the change in space.. How do I free up my space?",sync_app_bug,storage_quota_plan_limits,storage_quota_plan_limits,resolved,R4,high,,storage_quota_plan_limits
2801355,@DropboxSupport A .docx that my supervisor added to a shared folder on November 7th is not showing in at least two accounts. This is true for the Dropbox folder on our PCs and online. There is nothing different about this document than any other .docx in that shared folder.,data_loss_recovery,data_loss_recovery,sync_app_bug,resolved,R3b,low,"A file added to a shared folder 'is not showing in at least two accounts' is a propagation failure, not a deletion. R3b sends shared-object sync failures to sync_app_bug. Low confidence: 'missing files' is also literally Part 3's data_loss wording.",data_loss_recovery
1873832,when @118189 adds stuff to your account without getting your permission first. #NOTCOOL,security_account_compromise,security_account_compromise,complaint_dissatisfaction,resolved,R1c,medium,"'when @Dropbox adds stuff to your account without getting your permission first #NOTCOOL' describes Dropbox's own conduct, not a third-party intrusion. No unauthorised login, so security_account_compromise does not fit; evaluative with no request, so R1c.",security_account_compromise
1992403,@DropboxSupport An you share with me the cost of the Plan that would give me unlimited storage per user minimum 3 users? Thanks,storage_quota_plan_limits,billing_subscription,billing_subscription,resolved,R6a,high,,billing_subscription
1243081,"@DropboxSupport told I only have a few GB https://t.co/aR4DLHZtFN and then told I can’t upgrade my storage https://t.co/M2XlYq6Sg9 

2/2",storage_quota_plan_limits,storage_quota_plan_limits,billing_subscription,resolved,R6a,medium,"'told I can't upgrade my storage' -- the blocked action is a purchase, so R6a points at billing rather than at quota mechanics.",storage_quota_plan_limits
2028354,"@DropboxSupport I just installed DB on my acer windows 10 and almost ran out of space. Could't selective sync, deinstalled but files intact",storage_quota_plan_limits,storage_quota_plan_limits,how_to_usage,resolved,R5,high,"'installed DB on my acer windows 10 and almost ran out of space. Couldn't selective sync' is DEVICE disk space, which storage_quota explicitly excludes. The answer is selective sync.",storage_quota_plan_limits
1999298,"Hey @118189 - I have permanently deleted my deleted items, but still have ""ran out of Space"" notice. How do we fix it? #NoUpgrade #help",how_to_usage,storage_quota_plan_limits,storage_quota_plan_limits,resolved,R4,high,,storage_quota_plan_limits
1209275,"@DropboxSupport been trying to update my dropbox account the whole morning but the system but website keeps reporting ""issues"". advice?",service_outage,service_outage,sync_app_bug,resolved,R8a,medium,"'the website keeps reporting issues' while updating an account -- a website error with no evidence of service-wide scope. Part 3 gives website errors to sync_app_bug. Human said service_outage, model said account_access; both wrong.",account_access
2421520,"@DropboxSupport Thanks for the reply @DropboxSupport! Again, while the new features seem useful, I'd happily pay $200 a year if the plan included more space (2TB)? I'd even pay $300 a year for 3TB. Keep us posted.",storage_quota_plan_limits,feature_request,feature_request,resolved,R1b,high,,feature_request
2421521,Has anyone tried @118189 Professional? I'm currently on the Plus plan and there's not enough incentive for me to pay an extra $100 a year for 2 extra features. Would do it in a heartbeat if they offered more space.,storage_quota_plan_limits,feature_request,feature_request,resolved,R1b,medium,,feature_request
1874363,"@116029 #collaboration feature request: allow expanded view of discussions on shared documents, give #remote teams some more space",sharing_permissions,sharing_permissions,feature_request,resolved,R1b,high,"Literally opens '#collaboration feature request'. The object is shared documents, but R1 fires before R3 in the ladder, so a proposed product change wins.",feature_request
37940,WTF @dropboxsupport? What am I supposed to do with this hidden menu? I can't access my shared folder! https://t.co/hQJPkd7Pjv,how_to_usage,sharing_permissions,sharing_permissions,resolved,R3a,high,,sharing_permissions
2976667,"@118189 I don't seem to have enough space on my laptop to connect my work Dropbox. If I keep my external hard drive plugged in (with much more space), will this solve the problem?",storage_quota_plan_limits,how_to_usage,how_to_usage,resolved,R5,high,,sync_app_bug
988433,"@DropboxSupport I moved a shared folder to my desktop, edited files, then synced to a different acnt. changes reverted, how do I fix this?",how_to_usage,sync_app_bug,sync_app_bug,resolved,R2,high,,sync_app_bug
659012,@DropboxSupport On iOS to a shared folder with a file name that is 4 letters long. Can save all day long to a non shared folder.,sharing_permissions,sync_app_bug,sync_app_bug,resolved,R3b,low,,sync_app_bug
