side,customer_tweet_id,tweet,human_intent,model_intent,why_human_label_chosen,human_label_defensible,first_pass_verdict,verdict,proposed_final_intent,changed_on_recheck,recheck_note,reason_for_decision
false_negative,615215,@118189 why did you remove the green check that signs everything is alright and I'm connected to the dropbox cloud?,complaint_dissatisfaction,how_to_usage,Read 'why did you remove' as criticism.,yes,ambiguous,ambiguous,how_to_usage,no,,INCONSISTENT with 1863374: near-identical tweet (missing green check icon) labeled how_to_usage there and complaint here.
false_negative,847909,@118189 In Brazil is so expensive this service. You ougth to review this price.,complaint_dissatisfaction,billing_subscription,"Price criticism, soft suggestion to review.",yes,human_right,human_right,complaint_dissatisfaction,no,,"'In Brazil is so expensive... You ougth to review this price' has no answerable support request. feature_request is the nearest rival, not billing."
false_negative,74467,@DropboxSupport \name of the file\DSC_0015.JPG. This is extremely frustrating and a big waste of time.,complaint_dissatisfaction,sync_app_bug,Frustration words in a fragment.,,context_missing,context_missing,,no,,A filename plus 'extremely frustrating'. This is providing_requested_info on an unseen prior turn; no intent is recoverable standalone.
false_negative,1452735,Hi @dropboxsupport why can't I get notifications of added files to my android phone?,complaint_dissatisfaction,how_to_usage,Unclear; tone is neutral.,no,model_right,model_right,how_to_usage,no,Verdict (model_right) stands -- the human's complaint label is wrong either way. But the proposed final is not settled: 'why can't I get notifications' is how_to_usage if a setting must be enabled and sync_app_bug if notifications are broken. The tweet does not say which.,'why can't I get notifications of added files to my android phone?' is an answerable product question with no grievance. Second labeling slip of the same shape as 241283.
false_negative,2540849,@DropboxSupport P1 You need to send the login IP address when you send warnings of possibly unauthorized logins. It's confusing not to.,complaint_dissatisfaction,security_account_compromise,Labeled complaint; the labeler's own note says 'feedback'.,no,both_wrong,both_wrong,feature_request,no,,'You need to send the login IP address when you send warnings' is a product suggestion. The note contradicts the label. The model's security_account_compromise is worse -- it keyed on 'unauthorized logins'.
false_negative,1804904,@DropboxSupport having some other tech glitches so I (and now my whole team) went to https://t.co/CUHvRk8nTq and: What is going on? https://t.co/xMceAlgvZl,complaint_dissatisfaction,service_outage,'What is going on?' read as exasperation.,no,model_right,model_right,service_outage,no,,Customer checked the status page and is asking about a service problem affecting their whole team. service_outage is the routable topic.
false_negative,1082713,@DropboxSupport That's absurd. Please add it back.,complaint_dissatisfaction,feature_request,'That's absurd' read as a rant.,no,model_right,model_right,feature_request,no,,'Please add it back' is an explicit actionable request. The grievance is the frame around it.
false_negative,2551167,@39613 @118189 @DropboxSupport Dropbox is a RIPOFF! They charge customers for TRIALS before they are OVER!!,complaint_dissatisfaction,billing_subscription,All-caps accusation ('RIPOFF').,yes,ambiguous,ambiguous,billing_subscription,no,,"Makes a concrete factual claim (charged before the trial ended) that implies a refund, but never asks. Sits exactly on the STEP 2 boundary."
false_negative,1383896,This is not the moment to stop working @DropboxSupport https://t.co/XQYrpWb1as,complaint_dissatisfaction,service_outage,Terse sarcasm with no explicit question.,yes,ambiguous,ambiguous,service_outage,no,,'This is not the moment to stop working' reports an outage in complaint form. Topic-wins gives service_outage; no-request gives complaint.
false_negative,2179658,"@638765 @118189 If you want even more fun, download the app for your computer and it syncs everything! Filling your hard drive, which completes negates the reason for having dropbox.",complaint_dissatisfaction,storage_quota_plan_limits,"Sarcastic reply to another user, no ask.",yes,human_right,human_right,complaint_dissatisfaction,no,,"The model's storage_quota is wrong by an EXPLICIT taxonomy exclusion: this is the local hard drive filling up, and storage_quota_plan_limits says 'not device disk usage'."
false_negative,1687134,disappointed that @DropboxSupport isn't responding to my request to see how many dropbox plus keys I have saved. Seems like a simple request,complaint_dissatisfaction,account_access,'disappointed that Dropbox isn't responding'.,,context_missing,context_missing,,no,,A nudging_no_response turn about an unseen earlier request. The complaint label is really encoding a turn_type.
false_negative,2629478,"@DropboxSupport WTF is going on.I keep getting messages saying my Dropbox is full and to pay for more space. So I delete loads of ancient jpgs, only to find them all being reloaded, but I cannot find where the instruction is hidden to STOP THIS HAPPENING. Please advise.",how_to_usage,storage_quota_plan_limits,Ends in 'Please advise' -> read as a how-to.,no,model_right,model_right,storage_quota_plan_limits,no,,Deleted files reappearing while the quota stays full is taxonomy.md's named storage_quota case ('quota not clearing after deletion').
false_negative,259327,@DropboxSupport how can I eliminate a Team folder? It's imposible and the person is no longer available for me to reach to!,how_to_usage,sharing_permissions,Starts with 'how can I' -> read as a how-to.,no,model_right,model_right,sharing_permissions,no,,"taxonomy.md assigns team folders to sharing_permissions and states how_to_usage 'shrinks in v2 only because sharing and storage how-tos move to their own intents'. A documented rule, violated."
false_negative,1874043,@118189 Sad cos I can't remember which email my first cudi concert is under and which email the Especial Tour was under either 😞,how_to_usage,account_access,Contains 'can't remember which email'.,no,both_wrong,both_wrong,no_action_needed,no,,"The tweet is about concert tickets, not Dropbox. Off-topic -> no_action_needed. The model's account_access keyed on the word 'email'."
false_negative,2222820,"@DropboxSupport Hi guys, I am getting notifications from my work account on my home computer. How can I unlink their account from home? __email__",how_to_usage,account_access,'How can I unlink' -> read as a how-to.,yes,ambiguous,ambiguous,account_access,no,,"Unlinking a work account touches account_access ('business account setup'), but nothing is broken. The boundary is genuinely unwritten."
false_negative,1863374,"@DropboxSupport Did the taskbar icon change? I'm missing the green check, now see only the white box, which usually indicates network down",how_to_usage,sync_app_bug,The labeler's own note: 'no right answer just classified to least wrong'.,yes,ambiguous,ambiguous,sync_app_bug,no,,"INCONSISTENT with 615215 (same missing-green-check subject, labeled complaint there). The note is an explicit admission the taxonomy gave no answer."
false_negative,2053253,@DropboxSupport Out of Space Warning will not go away even though 50%+ unwanted files removed - how to make DB recognize it is not at 100%,how_to_usage,storage_quota_plan_limits,Ends in 'how to make DB recognize it' -> read as a how-to.,no,model_right,model_right,storage_quota_plan_limits,no,,"Near-verbatim match for taxonomy.md's storage_quota bug example. The 'how to' phrasing is surface form, not intent."
false_negative,1999298,"Hey @118189 - I have permanently deleted my deleted items, but still have ""ran out of Space"" notice. How do we fix it? #NoUpgrade #help",how_to_usage,storage_quota_plan_limits,'How do we fix it?' -> read as a how-to.,no,model_right,model_right,storage_quota_plan_limits,no,,"Same as 2053253: permanently deleted items, quota unchanged. Explicitly a storage_quota case in the taxonomy."
false_negative,37940,WTF @dropboxsupport? What am I supposed to do with this hidden menu? I can't access my shared folder! https://t.co/hQJPkd7Pjv,how_to_usage,sharing_permissions,'What am I supposed to do' -> read as a how-to.,no,model_right,model_right,sharing_permissions,no,,'I can't access my shared folder' is the actual need. Shared-folder access is sharing_permissions.
false_negative,988433,"@DropboxSupport I moved a shared folder to my desktop, edited files, then synced to a different acnt. changes reverted, how do I fix this?",how_to_usage,sync_app_bug,Ends in 'how do I fix this?'.,no,model_right,model_right,sync_app_bug,no,,Edits reverting after a sync is a malfunction. how_to_usage is defined as 'nothing is broken' -- something is broken here.
false_negative,1495052,@118189 I need more space and refuse to pay for 5 users on Business. What are my options?,storage_quota_plan_limits,billing_subscription,'I need more space' -> read as storage.,yes,ambiguous,ambiguous,billing_subscription,no,,"'What are my options' is a plan-cost question. taxonomy.md itself calls this intent 'exactly on the billing/technical seam'; the seam was never resolved in writing. Proposed final follows R6 (a question whose answer is a price is billing), which STEP 2 must ratify."
false_negative,1577541,"this should read “hi Elara your @118189 is full but we can help if you give us money. also we don’t have a student discount, so fuck you.” https://t.co/e8DIsWJNKg",storage_quota_plan_limits,complaint_dissatisfaction,The quoted text mentions a full account.,no,model_right,model_right,complaint_dissatisfaction,no,,"Sarcastic parody of a Dropbox upsell ending in profanity. No request, purely evaluative -- and the labeler set abusive_content, confirming they read it as a rant."
false_negative,1901120,@DropboxSupport Hi ... Earned 25gb of space via HP Promotion. Is there any expiry for this earned space ?,storage_quota_plan_limits,how_to_usage,Question about promotional storage expiry.,yes,human_right,human_right,storage_quota_plan_limits,no,,"A factual question about earned account space. taxonomy.md routes storage how-tos to this intent, so the model's how_to_usage is wrong by the written rule."
false_negative,1324437,"@DropboxSupport If I have a Plus plan and sharing folder with a standard (free plan) user, are they limited to 2GB of uploads to the folder?",storage_quota_plan_limits,how_to_usage,Question about a free user's upload limit.,yes,human_right,human_right,storage_quota_plan_limits,no,,Same as 1901120: a storage-limit question. The model's how_to_usage ignores the documented carve-out.
false_negative,1523722,@DropboxSupport I was wondering if there was an option to trial Dropbox Professional (I am on Plus)?,storage_quota_plan_limits,how_to_usage,'Plus -> Professional' read as a plan limit.,no,both_wrong,both_wrong,billing_subscription,no,,Asking to trial a paid tier is a plan/pricing question -> billing_subscription under its 'pure pricing questions' sub-rule. Neither label fits.
false_negative,53189,@DropboxSupport It would be great if they offered a little bit more space. I would pay more if it did. Thanks for the reply,storage_quota_plan_limits,feature_request,The subject is storage space.,no,model_right,model_right,feature_request,no,,"'It would be great if they offered a little bit more space' is a suggestion, not a problem. feature_request is defined as exactly this."
false_negative,2742476,@DropboxSupport what is the way to add more space to the current plan and how much does it cost ? without upgrading to team or business account thanks,storage_quota_plan_limits,billing_subscription,'add more space' -> read as storage.,yes,ambiguous,ambiguous,billing_subscription,no,,"'and how much does it cost' makes it half a pricing question. The billing/storage seam again; proposed final follows R6, pending STEP 2."
false_negative,193025,".@116029 @DropboxSupport as a small non-profit, we can't afford to pay $500 for something we're not going to use https://t.co/4l8Jf450ai",storage_quota_plan_limits,billing_subscription,The subject is a paid plan.,no,model_right,both_wrong,complaint_dissatisfaction,yes,"FIRST PASS WAS WRONG. I recorded model_right (billing_subscription) on the grounds that the subject is a paid plan. But R1 -- my own proposed rule -- says evaluative message + no actionable request = complaint, and ""we can't afford to pay $500 for something we're not going to use"" asks for nothing. I applied R1 to reach complaint on 1856823 and 847909 and then failed to apply it here, where it cuts against the model. Reclassified both_wrong.","""can't afford to pay $500"" is affordability/pricing, not a storage cap. billing_subscription or complaint; storage_quota is the weakest of the three."
false_negative,1992403,@DropboxSupport An you share with me the cost of the Plan that would give me unlimited storage per user minimum 3 users? Thanks,storage_quota_plan_limits,billing_subscription,Mentions 'unlimited storage'.,no,model_right,model_right,billing_subscription,no,,"'Can you share the cost of the Plan' is a pure pricing question, which taxonomy.md's billing sub-rule explicitly claims."
false_negative,2421520,"@DropboxSupport Thanks for the reply @DropboxSupport! Again, while the new features seem useful, I'd happily pay $200 a year if the plan included more space (2TB)? I'd even pay $300 a year for 3TB. Keep us posted.",storage_quota_plan_limits,feature_request,The subject is more storage.,no,model_right,model_right,feature_request,no,,"""I'd happily pay $200 a year if the plan included 2TB"" is a pricing/packaging suggestion. Same shape as 53189."
false_negative,2421521,Has anyone tried @118189 Professional? I'm currently on the Plus plan and there's not enough incentive for me to pay an extra $100 a year for 2 extra features. Would do it in a heartbeat if they offered more space.,storage_quota_plan_limits,feature_request,Compares plan storage.,no,model_right,model_right,feature_request,no,,"Public opinion aimed at other users, not a support request. feature_request or no_action_needed; not a quota issue."
false_negative,2976667,"@118189 I don't seem to have enough space on my laptop to connect my work Dropbox. If I keep my external hard drive plugged in (with much more space), will this solve the problem?",storage_quota_plan_limits,sync_app_bug,Contains 'not enough space'.,no,both_wrong,both_wrong,how_to_usage,no,,"This is LAPTOP disk space, which storage_quota_plan_limits explicitly excludes ('not device disk usage'). The model's sync_app_bug is also wrong -- nothing is broken, they are asking whether an external drive works."
false_negative,1600556,@DropboxSupport i can't open a shared link. Just keeps loading the files but never shows them,sync_app_bug,sharing_permissions,'keeps loading' read as an app bug.,yes,ambiguous,ambiguous,sharing_permissions,no,,A shared link failing to render is both a client bug and a sharing issue. taxonomy.md gives 'shared folders/links' to sharing_permissions but never says whether symptom or object wins.
false_negative,2607972,@118189 - wee bug on accepting a shared folder - https://t.co/KSDfUjpEZQ,sync_app_bug,sharing_permissions,The word 'bug' was taken at face value.,no,model_right,model_right,sharing_permissions,no,,"'accepting a shared folder' is an invite/join problem, which sharing_permissions claims verbatim."
false_negative,1972693,"@DropboxSupport 350/350, no firewalls or anything in between.",sync_app_bug,storage_quota_plan_limits,Assumed a sync context from the thread.,,context_missing,context_missing,,no,,"'350/350, no firewalls or anything in between' is pure providing_requested_info. The model's storage_quota is a hallucination off '350/350'."
false_negative,2828924,@DropboxSupport I Have done this. Too bad it didn't solve the problem,sync_app_bug,complaint_dissatisfaction,Assumed the prior topic was a sync bug.,,context_missing,context_missing,,no,,"""I Have done this. Too bad it didn't solve the problem"" carries no topic at all. Correct handling is turn_type=disputing_prior_answer -> escalate, which is a STEP 4/5 fix, not an intent fix."
false_negative,79858,"@DropboxSupport good day. I've been experiencing difficulty while trying to free up space in my dropbox. I've deleted and then permanently deleted thousands of files, and yet the reading on my storage usage has not changed at all.",sync_app_bug,storage_quota_plan_limits,Read 'deleted files not reflecting' as a sync failure.,no,model_right,model_right,storage_quota_plan_limits,no,,Permanently deleted files with unchanged storage usage is taxonomy.md's literal storage_quota example.
false_negative,2910246,"@DropboxSupport I’ve permanently deleted tons of files to free up space and after 24 hours, my account is still not reflecting the change in space.. How do I free up my space?",sync_app_bug,storage_quota_plan_limits,Same as 79858.,no,model_right,model_right,storage_quota_plan_limits,no,,"Identical shape to 79858 and 1999298 -- and 1999298 was labeled how_to_usage, so one family of tweets received three different human labels."
false_positive,1960138,"I don't like the new @118189 tray icon, every time I see it I think there's something wrong with it",feature_request,complaint_dissatisfaction,Labeler's note: 'feedback for UI'.,yes,,ambiguous,feature_request,n/a,,"COUNTEREXAMPLE TO R1. 'I don't like the new tray icon' is evaluative with no actionable request, which R1 as drafted sends to complaint_dissatisfaction -- but taxonomy.md gives 'product feedback' to feature_request explicitly. R1 needs a carve-out or these collide."
false_positive,989345,@118189 I usually have other documents which belong to a text but I can't keep them together if I want to use Paper.,feature_request,how_to_usage,Reads a missing capability as a feature gap.,yes,,human_right,feature_request,n/a,,"""I can't keep them together if I want to use Paper"" states a missing capability and asks nothing. Nothing is broken, so R2 blocks the model's how_to_usage."
false_positive,1339451,@DropboxSupport How can I control reminders for Showcase emails? I can see this annoying some clients who download docs without signing in,feature_request,how_to_usage,Second sentence ('annoying some clients') read as feedback.,no,,model_right,how_to_usage,n/a,,Opens with an explicit answerable question -- 'How can I control reminders for Showcase emails?'. R1 gives the actionable request precedence over the feedback that follows it; feature_request belongs in secondary_intent.
false_positive,3485,"@DropboxSupport hi, when I follow the link, dropbox asks me to log in with my biz account. I want to apply it to my personal account",account_access,how_to_usage,Link forces a business login -> read as account_access.,yes,,ambiguous,,n/a,,"SAME UNRESOLVED BOUNDARY AS 2222820 in the first pass: a clean how-to whose object is account linking. Both passes independently declined to settle it, which is consistent, but it means account_access <-> how_to_usage needs a written rule in STEP 2."
false_positive,768404,@118189 What's the difference between this and plus and free vision,billing_subscription,how_to_usage,Plan comparison -> read as billing.,yes,,human_right,billing_subscription,n/a,,"""What's the difference between this and plus and free"" is a plan/packaging question. R6 claims it for billing_subscription, so the model's how_to_usage is wrong by the rule the first pass proposed."
false_positive,2956783,@DropboxSupport I use a shared Dropbox between 6 people. Everyone can add to the Dropbox except for me. It says my Dropbox is full. The only thing on the Dropbox is the shared folder. Why can’t I add anything,sharing_permissions,storage_quota_plan_limits,Object is a shared folder -> read as sharing_permissions.,yes,,ambiguous,storage_quota_plan_limits,n/a,,"STRESS CASE FOR R3. 'Everyone can add except me. It says my Dropbox is full' has a shared-folder object but a quota symptom, and the useful answer is quota mechanics. R3 ('object beats symptom') would route it to sharing_permissions and give the customer the wrong answer. R3 must be narrowed to access/permission failures."
false_positive,1788320,@118189 my desktop app (Mac) is syncing at a snail's pace today. Is the service having issues?,service_outage,sync_app_bug,'Is the service having issues?' -> read as outage.,yes,,ambiguous,service_outage,n/a,,"NEW BOUNDARY, not in the original brief: sync_app_bug <-> service_outage. One user's slow sync plus an explicit service-status question. taxonomy.md gives '""Is Dropbox down?""' to service_outage but never says what happens when a single-user symptom accompanies it."
false_positive,1331572,@DropboxSupport It's not going to show up in a screenshot. It was a little pop up that displayed on my screen and then disappeared.,no_action_needed,sync_app_bug,Labeler's note: 'context not there for classification'.,n/a,,context_missing,,n/a,,"Mid-thread providing_requested_info about a pop-up. The labeler used no_action_needed as the bucket for unroutable-without-context -- which quietly inflates that intent and hides turn-type problems inside it, the exact v1 disease v2 was built to cure."
false_positive,512851,"@DropboxSupport Anyone else having sync issues with #Dropbox .. client is making changes to shared sheet, I can't see them, same in reverse. Not the first time. #Dropbox is about to be binned. Suggestions of safe shared space please?",service_outage,sync_app_bug,'Anyone else having sync issues' -> read as outage.,no,,model_right,sync_app_bug,n/a,,"'Anyone else having...' polls other users; it is not a service-status question, and the customer describes their own recurring shared-sheet problem ('Not the first time'). Also note the human set esc=True but left churn_threat unset despite 'about to be binned' -- flag under-use, not an intent error."
false_positive,659012,@DropboxSupport On iOS to a shared folder with a file name that is 4 letters long. Can save all day long to a non shared folder.,sharing_permissions,sync_app_bug,Shared-folder object -> read as sharing_permissions.,yes,,ambiguous,sharing_permissions,n/a,,Second R3 stress case: a save failure on iOS whose object is a shared folder. Also close to context_missing -- the tweet is a sentence fragment continuing an unseen prior turn.
