customer_tweet_id,tweet,human_intent,model_intent,human_secondary,model_secondary,model_confidence,human_note,why_human_label_chosen,human_label_defensible,verdict,proposed_final_intent,resolved_by_rule,reason_for_decision
2540849,@DropboxSupport P1 You need to send the login IP address when you send warnings of possibly unauthorized logins. It's confusing not to.,complaint_dissatisfaction,security_account_compromise,,,0.92,feedback,Labeled complaint; the labeler's own note says 'feedback'.,no,both_wrong,feature_request,,'You need to send the login IP address when you send warnings' is a product suggestion. The note contradicts the label. The model's security_account_compromise is worse -- it keyed on 'unauthorized logins'.
1804904,@DropboxSupport having some other tech glitches so I (and now my whole team) went to https://t.co/CUHvRk8nTq and: What is going on? https://t.co/xMceAlgvZl,complaint_dissatisfaction,service_outage,,,0.8,,'What is going on?' read as exasperation.,no,model_right,service_outage,,Customer checked the status page and is asking about a service problem affecting their whole team. service_outage is the routable topic.
1082713,@DropboxSupport That's absurd. Please add it back.,complaint_dissatisfaction,feature_request,feature_request,,0.95,,'That's absurd' read as a rant.,no,model_right,feature_request,,'Please add it back' is an explicit actionable request. The grievance is the frame around it.
2551167,@39613 @118189 @DropboxSupport Dropbox is a RIPOFF! They charge customers for TRIALS before they are OVER!!,complaint_dissatisfaction,billing_subscription,,complaint_dissatisfaction,0.92,frustrated customer and hence support,All-caps accusation ('RIPOFF').,yes,ambiguous,billing_subscription,residual,"Makes a concrete factual claim (charged before the trial ended) that implies a refund, but never asks. Sits exactly on the STEP 2 boundary."
1383896,This is not the moment to stop working @DropboxSupport https://t.co/XQYrpWb1as,complaint_dissatisfaction,service_outage,,,0.92,,Terse sarcasm with no explicit question.,yes,ambiguous,service_outage,residual,'This is not the moment to stop working' reports an outage in complaint form. Topic-wins gives service_outage; no-request gives complaint.
2179658,"@638765 @118189 If you want even more fun, download the app for your computer and it syncs everything! Filling your hard drive, which completes negates the reason for having dropbox.",complaint_dissatisfaction,storage_quota_plan_limits,storage_quota_plan_limits,,0.92,,"Sarcastic reply to another user, no ask.",yes,human_right,complaint_dissatisfaction,,"The model's storage_quota is wrong by an EXPLICIT taxonomy exclusion: this is the local hard drive filling up, and storage_quota_plan_limits says 'not device disk usage'."
1687134,disappointed that @DropboxSupport isn't responding to my request to see how many dropbox plus keys I have saved. Seems like a simple request,complaint_dissatisfaction,account_access,,,0.95,,'disappointed that Dropbox isn't responding'.,n/a,context_missing,,,A nudging_no_response turn about an unseen earlier request. The complaint label is really encoding a turn_type.
2629478,"@DropboxSupport WTF is going on.I keep getting messages saying my Dropbox is full and to pay for more space. So I delete loads of ancient jpgs, only to find them all being reloaded, but I cannot find where the instruction is hidden to STOP THIS HAPPENING. Please advise.",how_to_usage,storage_quota_plan_limits,complaint_dissatisfaction,,0.95,customer frustrated and hence escalated to human,Ends in 'Please advise' -> read as a how-to.,no,model_right,storage_quota_plan_limits,,Deleted files reappearing while the quota stays full is taxonomy.md's named storage_quota case ('quota not clearing after deletion').
259327,@DropboxSupport how can I eliminate a Team folder? It's imposible and the person is no longer available for me to reach to!,how_to_usage,sharing_permissions,,,0.95,,Starts with 'how can I' -> read as a how-to.,no,model_right,sharing_permissions,,"taxonomy.md assigns team folders to sharing_permissions and states how_to_usage 'shrinks in v2 only because sharing and storage how-tos move to their own intents'. A documented rule, violated."
1874043,@118189 Sad cos I can't remember which email my first cudi concert is under and which email the Especial Tour was under either 😞,how_to_usage,account_access,,,0.92,nothing we can do user has to try all the combinations,Contains 'can't remember which email'.,no,both_wrong,no_action_needed,,"The tweet is about concert tickets, not Dropbox. Off-topic -> no_action_needed. The model's account_access keyed on the word 'email'."
2222820,"@DropboxSupport Hi guys, I am getting notifications from my work account on my home computer. How can I unlink their account from home? __email__",how_to_usage,account_access,,,0.95,,'How can I unlink' -> read as a how-to.,yes,ambiguous,account_access,residual,"Unlinking a work account touches account_access ('business account setup'), but nothing is broken. The boundary is genuinely unwritten."
1863374,"@DropboxSupport Did the taskbar icon change? I'm missing the green check, now see only the white box, which usually indicates network down",how_to_usage,sync_app_bug,,,0.95,no right answer just classified to least wrong,The labeler's own note: 'no right answer just classified to least wrong'.,yes,ambiguous,sync_app_bug,R2,"INCONSISTENT with 615215 (same missing-green-check subject, labeled complaint there). The note is an explicit admission the taxonomy gave no answer."
2053253,@DropboxSupport Out of Space Warning will not go away even though 50%+ unwanted files removed - how to make DB recognize it is not at 100%,how_to_usage,storage_quota_plan_limits,storage_quota_plan_limits,,0.95,,Ends in 'how to make DB recognize it' -> read as a how-to.,no,model_right,storage_quota_plan_limits,,"Near-verbatim match for taxonomy.md's storage_quota bug example. The 'how to' phrasing is surface form, not intent."
1999298,"Hey @118189 - I have permanently deleted my deleted items, but still have ""ran out of Space"" notice. How do we fix it? #NoUpgrade #help",how_to_usage,storage_quota_plan_limits,,,0.95,,'How do we fix it?' -> read as a how-to.,no,model_right,storage_quota_plan_limits,,"Same as 2053253: permanently deleted items, quota unchanged. Explicitly a storage_quota case in the taxonomy."
37940,WTF @dropboxsupport? What am I supposed to do with this hidden menu? I can't access my shared folder! https://t.co/hQJPkd7Pjv,how_to_usage,sharing_permissions,complaint_dissatisfaction,how_to_usage,0.95,,'What am I supposed to do' -> read as a how-to.,no,model_right,sharing_permissions,,'I can't access my shared folder' is the actual need. Shared-folder access is sharing_permissions.
988433,"@DropboxSupport I moved a shared folder to my desktop, edited files, then synced to a different acnt. changes reverted, how do I fix this?",how_to_usage,sync_app_bug,,,0.92,,Ends in 'how do I fix this?'.,no,model_right,sync_app_bug,,Edits reverting after a sync is a malfunction. how_to_usage is defined as 'nothing is broken' -- something is broken here.
1495052,@118189 I need more space and refuse to pay for 5 users on Business. What are my options?,storage_quota_plan_limits,billing_subscription,,storage_quota_plan_limits,0.92,no human required yet as agent can explain the plans,'I need more space' -> read as storage.,yes,ambiguous,billing_subscription,R6,"'What are my options' is a plan-cost question. taxonomy.md itself calls this intent 'exactly on the billing/technical seam'; the seam was never resolved in writing. Proposed final follows R6 (a question whose answer is a price is billing), which STEP 2 must ratify."
1577541,"this should read “hi Elara your @118189 is full but we can help if you give us money. also we don’t have a student discount, so fuck you.” https://t.co/e8DIsWJNKg",storage_quota_plan_limits,complaint_dissatisfaction,complaint_dissatisfaction,,0.95,,The quoted text mentions a full account.,no,model_right,complaint_dissatisfaction,,"Sarcastic parody of a Dropbox upsell ending in profanity. No request, purely evaluative -- and the labeler set abusive_content, confirming they read it as a rant."
1901120,@DropboxSupport Hi ... Earned 25gb of space via HP Promotion. Is there any expiry for this earned space ?,storage_quota_plan_limits,how_to_usage,,,0.95,,Question about promotional storage expiry.,yes,human_right,storage_quota_plan_limits,,"A factual question about earned account space. taxonomy.md routes storage how-tos to this intent, so the model's how_to_usage is wrong by the written rule."
1324437,"@DropboxSupport If I have a Plus plan and sharing folder with a standard (free plan) user, are they limited to 2GB of uploads to the folder?",storage_quota_plan_limits,how_to_usage,sharing_permissions,,0.95,,Question about a free user's upload limit.,yes,human_right,storage_quota_plan_limits,,Same as 1901120: a storage-limit question. The model's how_to_usage ignores the documented carve-out.
1523722,@DropboxSupport I was wondering if there was an option to trial Dropbox Professional (I am on Plus)?,storage_quota_plan_limits,how_to_usage,,,0.95,,'Plus -> Professional' read as a plan limit.,no,both_wrong,billing_subscription,,Asking to trial a paid tier is a plan/pricing question -> billing_subscription under its 'pure pricing questions' sub-rule. Neither label fits.
53189,@DropboxSupport It would be great if they offered a little bit more space. I would pay more if it did. Thanks for the reply,storage_quota_plan_limits,feature_request,feature_request,,0.95,,The subject is storage space.,no,model_right,feature_request,,"'It would be great if they offered a little bit more space' is a suggestion, not a problem. feature_request is defined as exactly this."
2742476,@DropboxSupport what is the way to add more space to the current plan and how much does it cost ? without upgrading to team or business account thanks,storage_quota_plan_limits,billing_subscription,billing_subscription,,0.95,,'add more space' -> read as storage.,yes,ambiguous,billing_subscription,R6,"'and how much does it cost' makes it half a pricing question. The billing/storage seam again; proposed final follows R6, pending STEP 2."
193025,".@116029 @DropboxSupport as a small non-profit, we can't afford to pay $500 for something we're not going to use https://t.co/4l8Jf450ai",storage_quota_plan_limits,billing_subscription,complaint_dissatisfaction,,0.95,,The subject is a paid plan.,no,model_right,billing_subscription,,"""can't afford to pay $500"" is affordability/pricing, not a storage cap. billing_subscription or complaint; storage_quota is the weakest of the three."
1992403,@DropboxSupport An you share with me the cost of the Plan that would give me unlimited storage per user minimum 3 users? Thanks,storage_quota_plan_limits,billing_subscription,,,0.95,,Mentions 'unlimited storage'.,no,model_right,billing_subscription,,"'Can you share the cost of the Plan' is a pure pricing question, which taxonomy.md's billing sub-rule explicitly claims."
2421520,"@DropboxSupport Thanks for the reply @DropboxSupport! Again, while the new features seem useful, I'd happily pay $200 a year if the plan included more space (2TB)? I'd even pay $300 a year for 3TB. Keep us posted.",storage_quota_plan_limits,feature_request,,,0.95,,The subject is more storage.,no,model_right,feature_request,,"""I'd happily pay $200 a year if the plan included 2TB"" is a pricing/packaging suggestion. Same shape as 53189."
2421521,Has anyone tried @118189 Professional? I'm currently on the Plus plan and there's not enough incentive for me to pay an extra $100 a year for 2 extra features. Would do it in a heartbeat if they offered more space.,storage_quota_plan_limits,feature_request,,storage_quota_plan_limits,0.92,,Compares plan storage.,no,model_right,feature_request,,"Public opinion aimed at other users, not a support request. feature_request or no_action_needed; not a quota issue."
2976667,"@118189 I don't seem to have enough space on my laptop to connect my work Dropbox. If I keep my external hard drive plugged in (with much more space), will this solve the problem?",storage_quota_plan_limits,sync_app_bug,,,0.95,,Contains 'not enough space'.,no,both_wrong,how_to_usage,,"This is LAPTOP disk space, which storage_quota_plan_limits explicitly excludes ('not device disk usage'). The model's sync_app_bug is also wrong -- nothing is broken, they are asking whether an external drive works."
1600556,@DropboxSupport i can't open a shared link. Just keeps loading the files but never shows them,sync_app_bug,sharing_permissions,sharing_permissions,,0.95,,'keeps loading' read as an app bug.,yes,ambiguous,sharing_permissions,R3,A shared link failing to render is both a client bug and a sharing issue. taxonomy.md gives 'shared folders/links' to sharing_permissions but never says whether symptom or object wins.
2607972,@118189 - wee bug on accepting a shared folder - https://t.co/KSDfUjpEZQ,sync_app_bug,sharing_permissions,,,0.95,,The word 'bug' was taken at face value.,no,model_right,sharing_permissions,,"'accepting a shared folder' is an invite/join problem, which sharing_permissions claims verbatim."
1972693,"@DropboxSupport 350/350, no firewalls or anything in between.",sync_app_bug,storage_quota_plan_limits,,,0.92,,Assumed a sync context from the thread.,n/a,context_missing,,,"'350/350, no firewalls or anything in between' is pure providing_requested_info. The model's storage_quota is a hallucination off '350/350'."
2828924,@DropboxSupport I Have done this. Too bad it didn't solve the problem,sync_app_bug,complaint_dissatisfaction,,,0.92,already done the troubleshooting and hence escalated,Assumed the prior topic was a sync bug.,n/a,context_missing,,,"""I Have done this. Too bad it didn't solve the problem"" carries no topic at all. Correct handling is turn_type=disputing_prior_answer -> escalate, which is a STEP 4/5 fix, not an intent fix."
79858,"@DropboxSupport good day. I've been experiencing difficulty while trying to free up space in my dropbox. I've deleted and then permanently deleted thousands of files, and yet the reading on my storage usage has not changed at all.",sync_app_bug,storage_quota_plan_limits,storage_quota_plan_limits,,0.95,,Read 'deleted files not reflecting' as a sync failure.,no,model_right,storage_quota_plan_limits,,Permanently deleted files with unchanged storage usage is taxonomy.md's literal storage_quota example.
2910246,"@DropboxSupport I’ve permanently deleted tons of files to free up space and after 24 hours, my account is still not reflecting the change in space.. How do I free up my space?",sync_app_bug,storage_quota_plan_limits,how_to_usage,,0.92,,Same as 79858.,no,model_right,storage_quota_plan_limits,,"Identical shape to 79858 and 1999298 -- and 1999298 was labeled how_to_usage, so one family of tweets received three different human labels."
