customer_tweet_id,parent_tweet_id,parent_author,parent_text
1041902,1041901,brand,"@182114 Hi again, we understand. If you sent it from your Gmail, then we didn’t receive it. Is that the email used for your Dropbox account?"
2828924,2828923,brand,"@787820 Hey Ellen, thanks for checking in with us about this! Could you try performing a quick uninstall and reinstall of the app? Let us know once you have an update on this. Thanks and happy Monday!"
1419325,1419317,brand,Investigating: All parts of the Dropbox platform are currently down for most users. We’re working to fix the proble… https://t.co/3jZjY7fqKE
2867703,2867702,brand,"@149958 That’s true Jon, as currently, it is not possible to modify license key subscriptions, although you may keep in mind that there are both Dropbox Plus &amp; Professional promotional offers (https://t.co/VkRNYmSdVG). Hope helps you clarify more. Wishing you an amazing week ahead!"
1050476,1050482,other,"Fuck's sake Dropbox. This used to be a tick and a cross, now it's the *same icon* for crucially different states, just fainter. https://t.co/bq1Nt4pXrT"
1331576,1331575,brand,"@430646 @118189 Hey there, have you tried accessing: https://t.co/O0yojU3EV9 through an incognito window? Also, are connecting through a work network?"
3485,3486,brand,"@116535 Hi Danaan, what error are you getting when you redeem the key for your Dropbox account? Did you have Plus before with EVH?"
1843215,1843214,brand,"@524491 Thanks for the update Aleksandr, could you try manually quitting and relaunching the apps? Let us know the sync status once the apps... 1/2"
847924,847911,other,We’re excited to bring Smart Sync to individual users. Here's Dropbox Professional: https://t.co/6VtC2lfCAi https://t.co/pUeHc2ABIm
1958723,847929,same,@118189 in addition it would be great to have only the plus pace option without smart sync available for those who prefer it that way
768404,768397,other,"We just launched Dropbox Professional, a new plan that lets you store, share, and track your work from one place. https://t.co/SK5e7DvueR"
847909,847911,other,We’re excited to bring Smart Sync to individual users. Here's Dropbox Professional: https://t.co/6VtC2lfCAi https://t.co/pUeHc2ABIm
933440,933439,brand,@341412 ...details about this here: https://t.co/qibJNyakqa 3/3
74467,74466,brand,"@132674 ...so, are you able to open them up and access them or do you still receive the ""can’t be found"" message ? Thanks again! 2/2"
715979,715981,brand,"@291320 Hi Sergei, we’d like to follow-up on your request. If there’s a ticket ID to reference, please include it in a DM here. Thanks in advance!"
859250,859249,brand,@324018 ...investigation via email from there on. Hope this helps! 2/2
1331572,1049322,brand,"@292849 Hey there, to look into that with you, could you DM us a screenshot (omitting personal info) of what you're seeing on your account... 1/2"
2179670,2179668,brand,@384357 ...so we can make sure to get someone on it right away! Thanks 2/2
2055860,2055859,brand,"@607991 Hi Gary, is the issue still ongoing?"
266807,266811,brand,"@179575 Hey, there hasn’t been any reported down-time: https://t.co/vm8ojWX2mH Are you still experiencing issues? Let us know if we can help! 😊"
2826329,2826328,brand,"@787299 Hey Jeremy, thanks for reaching out. As this is a billing-matter, could you please submit an official request at https://t.co/JzCu5Ol0GV + DM us your ticket ID, so we can follow up with you from there? Thanks in advance and happy Monday!"
1082713,855790,brand,"@156054 Hey there, the newest stable version no longer has the green ✔️, so as to provide a more consistent experience of the Dropbox icon... 1/2"
36132,36134,brand,"@123860 ...number and PIN via the Admin Console. As you have issues accessing your Dropbox account, we’re happy to assist going forward from here. Please write to us at https://t.co/y7rSTLsgY2 and DM us the ticket ID. Thanks! 2/2"
846705,846703,brand,@245274 ...specialists. Had you received the final update from our team? 2/2
267212,193052,brand,"@161374 Hey Scott, do you have ticket ID’s referencing the 🐛 reports you’ve submitted? Feel free to DM us so we can search for them and... 1/2"
32652,32651,brand,@123254 ...you’re not going to see a difference since it could most likely be the cause of the overquota messages. 2/2
237165,237164,brand,"@172485 Hi there, just to clarify, are you referring to the physical USB keys used to unlock accounts for two-step verification?"
53189,53188,brand,"@127993 Hi Tamara, Dropbox Professional’s core value is reflected by the added features, such as Showcase: https://t.co/vcuah3zoKb and Smart Sync. Thank you for writing in about this, we will be sure to pass this along the our team!"
1516794,1516796,brand,"@222099 Hey John, we’re forwarding this to our team for review. Thanks for bringing it to our attention. Have you replied to Cleo about this? Cheers"
2179735,2179734,brand,"@631915 Hi Damiano, we understand how you feel. If you were on a Plus/Professional plan and you joined a paid Dropbox Business team, you should have received a pro-rated refund to the payment method. Additionally, the team admin then technically owns your account and all data... 1/2"
2469274,2469273,brand,"@706396 Hi Matthew, we’re here! What seems to be the problem?"
1992403,1992402,brand,"@458607 Hi again, that’s the pricing for Standard, the Advanced pricing is higher, and varies depending on if it’s a monthly or annual plan."
2179658,2179659,other,Hey @118189 you know what's super lame? Forcing me to get your mobile app in order to download a file off your website.
2421520,2421519,brand,"@695559 Hi Mathew, we’re currently looking into the possibility of a trial to test out Dropbox Professional, so you can try Showcases and Smart Sync. Regarding the increase in space, we can forward your feedback to our dev team to make them aware of your suggestion."
659012,659011,brand,"@276908 Hi again, are you getting the error on iOS, or on your desktop? Excel has a maximum limit for characters in the full filepath."
